worda	wordB	rating
brazo	músculo	1.4
democracia	monarquía	1.3
tejado	techo	4.8
amigo	profesor	0.4
mano	pie	1.1
biografía	ficción	0.7
disco	ordenador	1.3
esgrima	gimnasia	2.6
banco	asiento	5.1
emperador	constitución	1.2
pistola	truco	0.2
tamaño	magnitud	5
pelota	guante	1.1
oveja	ganado	2.7
lagartija	cocodrilo	2.6
amigo	huésped	1.6
cumpleaños	cita	1.4
coche	taxi	3.8
hueso	dientes	1.7
paraguas	calentador	0.2
frustración	enfado	4.5
activo	valores	2.6
acción	curso	1.3
celebracion	ceremonia	4.1
ensayo	tarea	3.3
circunnavegación	equipaje	1.1
populacho	multitud	3.2
hombro	cabeza	1.5
arquero	pionero	0.8
mito	sátira	2
ganador	candidato	1.7
combate	beligerancia	3.4
puerta	portón	4.9
bolos	jugador de bolos	2.1
circunstancia	situación	5.6
convocatoria	reunión	4.8
cuidado	precaución	5.7
gravedad	meteorito	1.4
cena	pollo	1.6
sensor	radiador	1.2
palomitas de maiz	cine	2.1
casa	apartamento	4.1
centavo	esposa	0.3
palabra	literatura	2.4
escoba	polvo	0.9
snowboard	esquí	2.6
hijo	padre	1.6
semilla	mostaza	1.8
gato	Conejo	0.9
biólogo	microscopio	1.3
placa	vaso	0.7
chisme	Noticias	2.1
dado	cubo	3.5
torre	campana	1.7
programa informático	caso	0.6
Dios	sacerdote	1.6
río	Valle	2.4
automóvil	coche	5.5
madre	esposa	2.1
árbol	arce	3.7
arroz	niño	0
chico	semental	0.6
puerto	envoltura	0.1
inteligencia	lógica	3.4
día	mañana	3.6
arma	casco	1.4
monasterio	ducha	0
ganador	presencia	0.4
televisión	cine	2.3
filete	carne	3.6
pistón	motor	2.2
virus	sangre	1.2
hombre	centinela	0.9
oveja	Cordero	3.8
coche	autopista	1.4
resistencia	fuerza	3
entropía	información	0.8
ruido	traqueteo	3.4
dinero	salario	3.7
profesor	ayudante	1.1
autor	creador	5.3
papel pintado	fondo	1.6
cerveza	champán	1.3
capacidad	competencia	3
mano	muñeca	2.2
capítulo	elección	0.5
agosto	mes	3
curso	estómago	0.1
monje	cruzar	0.1
estrella	brillo	2.7
visión	percepción	4.5
vino	brandy	1.6
habitación	bañera	0.7
pasillo	corredor	5.3
naranja	cítrico	3
Iglesia	coro	1.2
ropa	cajón	1.3
día	amanecer	2.6
bestia	animal	4.1
tarro	botella	2.3
río	mar	2.4
hecho	visión	0.5
tribunal	justicia	2.6
pasado	antecedente	3.4
globalismo	visado	0.8
monstruo	demonio	3.3
abogado	banquero	1.4
cuchara	vaso	1.2
segundo	minuto	2.5
felicidad	tristeza	0.8
galaxia	astrónomo	1.6
obrero	cámara	0.1
riñón	órgano	3.2
fútbol	fútbol americano	2.5
chico	niña	1.2
niño	hermano	1.7
intercambio	reemplazo	3.2
poeta	periodista	0.9
recordatorio	diferencia	0.4
vaca	cabra	1.3
parlamento	congreso	3.6
divertido	fútbol	1.2
riqueza	pobreza	0.2
taxi	autobús	2
alcohol	Ginebra	2.3
corazón	cirugía	1
elegancia	estilo	4.1
ganado	ternera	3.5
tarea	autopista	0.1
noche	día	1
envase	ratón	0.1
juego	truco	2
ganado	yogur	0.6
avestruz	huerta	0.4
gente	globo	0.5
puerta	cocina	0.7
negocio	industria	3.1
contaminación	presidente	0.5
mar	océano	4.2
capilla	cable	0
ropa	botón	1.4
cubierta	ratón	0
negación	confesión	1.2
pelota	cañón	0.4
niña	niño	3.2
anatomía	biología	2.2
lácteos	miel	0.5
casa	granero	0.8
cena	sopa	2.1
accidente	catástrofe	3.4
curva	ángulo	2.2
personaje	persona	2.8
